,title,plot
110,Incendies,"Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,A mother's last wishes send twins Jeanne and Simon on a journey to the Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love.,Canadian Nawal Marwan has just passed away. The only people at the reading of her will are her twin adult children, Jeanne and Simon Marwan, and the executor, Nawal's long time employer and friend, notary Jean Lebel. The will contains many unusual requests, the most unusual being two sealed envelopes, one to be delivered by each of the twins to their father and to their brother respectively. The unusual nature of these requests are that their father as they know passed away years earlier during the war in Lebanon (where Nawal was raised) and they have no knowledge of any other offspring. Simon sees these requests as further indication that his mother was crazy and he will have no part of any of what he sees as her unusual final requests. But Jeanne wants to respect her mother's final wishes, which means finding out who their real father is and who this unknown brother is. These tasks take Jeanne on a quest to Lebanon to trace her mother's history, of which she knows little. As Jeanne goes on her quest with what little information she has on hand, she finds a history filled with turmoil. But many who knew her mother or knew of her mother refuse to speak to Jeanne. Jeanne ultimately requires Simon's assistance who reluctantly joins her in Lebanon. But even Simon gets caught up in finding out about his father and brother when they are closer to piecing together the puzzle. Finding out about their mother's past and thus their own history may enlighten them on why Nawal was the woman that she was.,In Canada, the sixty-year-old immigrant secretary Nawal Marwan passes away and the notary Jean Lebel, who had been her employer and friend for seventeen years, reads her will to her twin son and daughter Simon and Jeanne Marwan, who is a mathematician. Nawal requests to be buried naked with her face down and her tomb without a gravestone; further, she leaves three sealed envelopes addressed to the twins' father that they believed had died in the Middle East; to their unknown brother; and the last one to themselves to be opened only after the delivery of the other two. Then, they may put a gravestone on her tomb. Simon is reluctant to respect his mother last wishes, but Jeanne decides to find her biological father and brother. She travels to the Middle East to track down the past life of her mother and she discovers who she was before moving to Canada. She feels disturbed with the revelations and asks Simon to come to the Middle East to assist her in her journey. Simon discovers who his father and his brother are and concludes that one plus one may be equal to one.,Long-buried secrets are about to come to light, when the twin siblings, Jeanne and Simon, are called before a notary for the reading of their mother Nawal's will. Suddenly, Jeanne is to hand-deliver a sealed letter to the father she never knew, somewhere in the Middle East; likewise, Simon has to give an equally important message to an unknown brother the twins didn't know they had. One is determined to unearth the truth; the other is reluctant. However, a promise is a promise, and, unless the siblings travel to their mother's homeland, they will never find peace. Will Jeanne and Simon honour her dying wish and shed light on Nawal Marwan's terrifying life?"
111,Lawrence of Arabia,"An epic about British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements."
112,A Separation,"A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Nader (Payman Maadi) and Simin (Leila Hatami) argue about living abroad. Simin prefers to live abroad to provide better opportunities for their only daughter, Termeh. However, Nader refuses to go because he thinks he must stay in Iran and take care of his father (Ali-Asghar Shahbazi), who suffers from Alzheimers. However, Simin is determined to get a divorce and leave the country with her daughter.,When his wife Simin (Leila Hatami) leaves him, Nader ('Peyman Moadi') hires a young woman Razieh (Sareh Bayat) to take care of his suffering father (Ali-Asghar Shahbazi). But he doesn't know his new maid is not only pregnant, but also working without her unstable husband's (Shahab Hosseini) permission. Soon, Nader finds himself entangled in a web of lies manipulation and public confrontations.,An Iranian couple has a tough decision to make: Simin wants the family to live abroad to better the chances in life for their only daughter, Termeh. Nader, however, insists on staying in Iran to take care of his father, who suffers from Alzheimer's disease. The argument leaves the couple but one choice: divorce. But the consequences may go far beyond anything they had ever expected...,Nader and Simin, a middle class Iranian couple with an eleven year old daughter named Termeh, are on the verge of divorce. They love each other, but Simin, with exit visas for the family only good for the next forty days, wants to leave Iran permanently to a better life especially for Termeh. Nader, however, refuses to go as his father suffers from Alzheimer's and Nader will not leave him behind despite he probably not knowing who Nader is most of the time. As such, Simin moves out of their home and back in with her own parents. Termeh, however, stays with her father as she sees this action as a way to bring her parents back together. As Nader's father requires around the clock supervision, Nader, on a suggestion from Simin about a family member of an acquaintance, hires a man named Hojjat to be his father's caregiver when he's at work during the day. However, on Hojjat's first day in this position, he can't make it. Instead, Hojjat's wife, Razieh, with their infant daughter Somayeh, shows up to do the work as they desperately need the money. A few days in with Razieh having so far done all the work for an absent Hojjat, an incident occurs between Nader and Razieh, the results from which threaten both their standing in the community. With their respective spouses and children among others thrown into the mix, each individual has made up his or her mind about what is the best thing to do for his or herself, which is often at cross purposes to the others. These decisions take into consideration justice, humanity and/or individual well-being."
113,Amélie,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.,Amélie is a story about a girl named Amélie whose childhood was suppressed by her Father's mistaken concerns of a heart defect. With these concerns Amélie gets hardly any real life contact with other people. This leads Amélie to resort to her own fantastical world and dreams of love and beauty. She later on becomes a young woman and moves to the central part of Paris as a waitress. After finding a lost treasure belonging to the former occupant of her apartment, she decides to return it to him. After seeing his reaction and his new found perspective - she decides to devote her life to the people around her. Such as, her father who is obsessed with his garden-gnome, a failed writer, a hypochondriac, a man who stalks his ex girlfriends, the ""ghost"", a suppressed young soul, the love of her life and a man whose bones are as brittle as glass. But after consuming herself with these escapades - she finds out that she is disregarding her own life and damaging her quest for love. Amélie then discovers she must become more aggressive and take a hold of her life and capture the beauty of love she has always dreamed of.,Amélie is a shy waitress in a Montmartre café. After returning a long-lost childhood treasure to a former occupant of her apartment, and seeing the effect it has on him, she decides to set out on a mission to make others happy and in the meantime pursues a quirky guy who collects discarded photo booth pictures.,Amélie is looking for love, and perhaps for the meaning of life in general. We see her grow up in an original if slightly dysfunctional family. Now a waitress in central Paris, she interacts curiously with her neighbors and customers, as well as a mysterious Photomaton-image collector and one of his even more mysterious photo subjects. Little by little, Amélie realizes that the way to happiness (and yet more subtle humor) requires her to take her own initiative and reach out to others.,Amélie tries to enrich the lives of those around her by weaving her special brand of mischievous magic. She befriends a neighbor who's a shut-in, plays pranks on another neighbor, steals a garden gnome and returns objects she collects to their rightful owners. She romantically daydreams in the café she works at and marvels at life's ironies. One day she finds a small box containing a child's mementos and decides to set about finding its rightful owner...will romance blossom for Amélie?,In 1974, in Enghien in the northern suburbs of Paris, the girl Amélie Poulain was born and raised alone by her cold hearted father and her stressed mother due to a mistake of her father's evaluation of her heart conditions. Her mother dies in a weird accident and when the shy and daydreamer Amélie Poulain becomes a young woman, she moves to central Paris and works as waitress in the café Deux Moulins in Montmartre. On 30 August 1997, Amélie finds a child treasure hidden behind the wall that belonged to a dweller from the 50's, and she decides to anonymously return it to the owner. He seeks out the man and when she witnesses his happiness, she decides to become the ""godmother of the rejected"", anonymously helping people that are her acquaintances using her fantasy and little tricks. She convinces her father to travel abroad using his garden gnome; she helps her neighbor that is an outcast and lonely painter and the super that misses her unfaithful husband; she also helps her hypochondriac colleague that works in the tobacco shop and the man that stalks the other waitress acting like cupid; she plays pranks to an employer that mistreats his employee with abusive relationship. When Amélie finds the album of photos of an intriguing collector that collects rejected photos in the Photomaton of the Gare de l'Est, she seeks him out and falls in love with him. On 28 September 1997, Amélie Poulain finds love."
114,The Sting,"Two grifters team up to pull off the ultimate con.,Johnny Hooker, a small time grifter, unknowingly steals from Doyle Lonnegan, a big time crime boss, when he pulls a standard street con. Lonnegan demands satisfaction for the insult. After his partner, Luther, is killed, Hooker flees, and seeks the help of Henry Gondorff, one of Luther's contacts, who is a master of the long con. Hooker wants to use Gondorff's expertise to take Lonnegan for an enormous sum of money to even the score, since he admits he ""doesn't know enough about killing to kill him."" They devise a complicated scheme and amass a talented group of other con artists who want their share of the reparations. The stakes are high in this game, and our heroes must not only deal with Lonnegan's murderous tendencies, but also other side players who want a piece of the action. To win, Hooker and Gondorff will need all their skills...and a fair amount of confidence.,Following the murder of a mutual friend, aspiring con man Johnny Hooker teams up with old pro Henry Gondorff to take revenge on the ruthless crime boss responsible, Doyle Lonnegan. Hooker and Gondorff set about implementing an elaborate scheme, one so crafty that Lonnegan won't even know he's been swindled. As their big con unfolds, however, things don't go according to plan, requiring some last-minute improvisation by the undaunted duo.,When the gang are coming up with a way to get Lonnegan, Kid Twist mentions that Riley and Cole are the only torpedoes they know of. Then how did they know that Loretta Salino was also a torpedo after she was shot by the guy sent by Gondorff?,Johnny Hooker is a young con-man who is being taught by Luther. One day they pull one of their con jobs and net themselves a huge roll. What they don't know is that the man they conned is the courier for a numbers runner. And it turns out that the boss, Doyle Lonigan, considers it an attack on him and orders all the people involved terminated. Hooker is shaken down by a crooked cop, Snyder, who threatens to turn him over to Lonigan unless he pays him off. Hooker pays him, he then tries to warn Luther but is too late. He then goes to see Henry Gondorf, a friend of Luther's and a one time great con-man, who has had a bit of bad luck. After hearing what happened to Luther and seeing how hungry Hooker is for payback, he assembles a gang and decides to con Lonigan. While everything seems to be going ok, there is just the problem of the hit on Hooker and Snyder, whom Hooker paid off with counterfeit money.,It's September, 1936. The place: Joliet, Illinois. Luther Coleman, his apprentice Johnny Hooker, and their underling Joe Erie's latest swindle has netted them $11,000, enough for an aged Luther to contemplate retiring from grifting. They are unaware however that that money belonged to ruthless racketeer Doyle Lonnegan, whose thugs kill Luther in retaliation. Before Luther's death, he suggested to Hooker that he contact Henry Gondorff, his old friend in Chicago to learn the art of the big con. Hooker does contact Gondorff, who has retired after being burned in his last big con. Gondorff decides to come out of retirement solely to help Hooker get back at Lonnegan for Luther's murder. In pulling off the big con, Gondorff and Hooker require the assistance of a number of Gondorff's old associates as well as a number of small time grifters. In the latter group includes Erie, who wants to do his small part in revenging Luther's death. Beyond Lonnegan or anyone else finding out about the con, there are many potential obstacles in pulling off the sting, such as a controlling and overly cautious Lonnegan wanting to do things his own way, and a number of people chasing after Hooker, including a crooked Joliet vice cop named Snyder, Lonnegan's lower level thugs and a hired hit man. Through the process, Hooker, who sees himself as being a wheeler dealer, may come across a better deal than that provided to him by Gondorff."
115,Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences."
116,For a Few Dollars More,"Two bounty hunters with the same intentions team up to track down a Western outlaw.,Drifting from town to town, the poncho-clad Man with No Name and the lightning-fast right hand rides into the town of El Paso, in search of the maniacal escaped convict, El Indio. It's been eighteen short months since the deadly confrontation in A Fistful of Dollars (1964), and this time, the solitary stranger, now a professional bounty hunter, will have to go against his beliefs and do the unthinkable: join forces with the hawk-eyed marksman, Colonel Douglas Mortimer, to collect the hefty reward. Now, as El Indio and his cut-throats have already set their sights on robbing the crammed-with-cash Bank of El Paso, the stage is set for a bloody showdown at high noon, against the backdrop of silent double-crosses and fragile allegiances. But, is it worth dicing with death for a few dollars more?,Manco (Clint Eastwood) is a bounty killer chasing El Indio (Gian Maria Volontè) and his gang. During his hunting, he meets Colonel Douglas Mortimer (Lee Van Cleef), another bounty killer, and they decide to make a partnership, chase the bad guys together and split the reward. During their enterprise, there will be lots of bullets and funny situations. In the end, one of the bounty hunters shows the real intention of his hunting."
117,The Apartment,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.,As of November 1, 1959, mild mannered C.C. Baxter has been working at Consolidated Life, an insurance company, for close to four years, and is one of close to thirty-two thousand employees located in their Manhattan head office. To distinguish himself from all the other lowly cogs in the company in the hopes of moving up the corporate ladder, he often works late, but only because he can't get into his apartment, located off of Central Park West, since he has provided it to a handful of company executives - Mssrs. Dobisch, Kirkeby, Vanderhoff and Eichelberger - on a rotating basis for their extramarital liaisons in return for a good word to the personnel director, Jeff D. Sheldrake. When Baxter is called into Sheldrake's office for the first time, he learns that it isn't just to be promoted as he expects, but also to add married Sheldrake to the list to who he will lend his apartment. Dobisch, Kirkeby, Vanderhoff and Eichelberger are now feeling neglected as Baxter no longer needs their assistance in moving up.,Of all the ways to climb the corporate ladder, C.C. Baxter, a loyal, resourceful, and cooperative clerk in a giant Manhattan insurance firm, has come up with the fastest: lend the key of his convenient bachelor apartment to his womanising bosses. Indeed, Baxter's strategy is infallible, and as the meek but ambitious employee is starting to enjoy the fruit of his labour, he catches the eye of the company's philandering big boss, Jeff D. Sheldrake, who, of course, wants a piece of the action. Now, Baxter can really give his career a boost; however, is there any room left for his blossoming love life?,Bud Baxter is a struggling clerk in a huge New York insurance company. He's discovered a quick way to climb the corporate ladder - by lending out his apartment to the executives as a place to take their mistresses. He often has to deal with the aftermath of their visits and one night he's left with a major problem to solve."
118,Double Indemnity,"An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,In 1938, Walter Neff, an experienced salesman of the Pacific All Risk Insurance Co., meets the seductive wife of one of his clients, Phyllis Dietrichson, and they have an affair. Phyllis proposes to kill her husband to receive the proceeds of an accident insurance policy and Walter devises a scheme to receive twice the amount based on a double indemnity clause. When Mr. Dietrichson is found dead on a train track, the police accept the determination of accidental death. However, the insurance analyst and Walter's best friend Barton Keyes does not buy the story and suspects that Phyllis has murdered her husband with the help of another man.,Walter Neff, the Pacific All Risk Insurance Company's top salesman, returns to his office late one evening, bleeding from a gunshot wound, and dictates a memo to colleague Barton Keyes. It all started the previous May, when he stopped at a client's home for a routine renewal inquiry and instead met the client's wife, Phyllis Dietrichson. She asked about buying accident insurance for her husband without his knowledge, and Neff understood that she intended to kill him. Neff and Phyllis were soon lovers, with Neff taking charge of the killing. Initially their plan went off without a hitch, but then Neff realized that he had been played and decided to do something about it.,Alone in his company's Los Angeles offices late one evening and under some distress, insurance salesman Walter Neff dictates an inter-office memo to his colleague, claims manager Barton Keyes, about killing one of his clients, a Mr. Dietrichson. Barton suspected that Dietrichson was murdered by his wife, Phyllis Dietrichson, who was claiming the double indemnity on her husband's accident insurance policy. Walter met Phyllis innocently enough - he was dropping off auto insurance renewal papers for her husband - but quickly fell under her seductive charms. They were obvious to each other in their mutual attraction. After deducing that she was planning on killing her husband since she stated he was abusive and claiming the insurance moneys on a policy her husband would have no idea existed, Walter decided to go into cahoots with her so that he could help her craft and execute the ""perfect"" insurance policy, and plan and execute the ""perfect"" murder beyond Keyes' scrutiny, leading to them living in bliss together and with money. Beyond any slip-up in the plan, Keyes and Dietrichson's disgruntled daughter, Phyllis' step-daughter Lola Dietrichson, factored into their ability to pull off the plan successfully. Walter concludes his memo for its reason, which he considers more a confession.,Walter Neff is an insurance salesman whose life is largely devoid of any excitement and thrill. All of that changes when he meets Phyllis Dietrichson, the callous wife of a man whom she plans to murder and cash out on his accidental death claim (""double indemnity""). When he is seduced by Dietrichson into murdering her husband, the two plot a murder scheme that will not go as planned. Suddenly, the motives of each become unclear and the plan becomes further complicated when Neff's boss begins to investigate the murder.,Smooth-talking insurance salesman Walter Neff meets attractive Phyllis Dietrichson when he calls to renew her husband's automobile policy. The couple are immediately drawn to each other and an affair begins. They cook up a scheme to murder Mr. Dietrichson for life insurance money with a double indemnity clause. Unfortunately, all does not go to plan..."
119,To Kill a Mockingbird,"In a small Alabama town in the 1930s, scrupulously honest and highly respected lawyer, Atticus Finch puts his career on the line when he agrees to represent Tom Robinson, a black man accused of rape. The trial and the events surrounding it are seen through the eyes of Finch's six-year-old daughter, Scout. While Robinson's trial gives the movie its momentum, there are plenty of anecdotal occurrences before and after the court date: Scout's ever-strengthening bond with older brother, Jem, her friendship with precocious young Dill Harris, her father's no-nonsense reactions to such life-and-death crises as a rampaging mad dog, and especially Scout's reactions to, and relationship with, Boo Radley, the reclusive 'village idiot' who turns out to be her salvation when she is attacked by a venomous bigot."
120,Up,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life."
121,Indiana Jones and the Last Crusade,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.,An art collector appeals to Indiana Jones to embark on a search for the Holy Grail. He learns that another archaeologist has disappeared while searching for the precious goblet, and the missing man is his own father, Dr. Henry Jones. The artifact is much harder to find than they expected, and its powers are too much for those impure of heart.,In 1938, only two years after the hunt for the Ark of the Covenant and his encounter with Adolf Hitler's Nazis in Indiana Jones and the Raiders of the Lost Ark (1981), the intrepid, bullwhip-wielding archaeologist, Indiana Jones, risks life and limb on his search for his missing father, Professor Henry Jones. Picking up from where his estranged parent left off while searching for the Holy Grail, Dr Jones, along with the academic and surrogate father figure, Marcus Brody, make a stop at Venice, Italy, and then, off he goes to cold Austria with the statuesque archaeologist, Dr Elsa Schneider. But, there, a dangerous run-in with the SS commander, Colonel Ernst Vogel, can only spell more trouble, as the power-obsessed megalomaniac is bent on finding the location of the sacred artefact first. Can the Joneses thwart his evil plan in the last crusade?,Indiana Jones, famed adventurer and archaeologist acquires a diary that holds clues and a map with no names to find the mysterious Holy Grail, which was sent from his father, Dr. Henry Jones, in Italy. Upon hearing from a private collector, Walter Donovan, that the mission for the Holy Grail went astray with the disappearance of his father, Indiana Jones and museum curator Marcus Brody venture to Italy in search of Indy's father. However, upon retrieving Dr. Henry Jones in Nazi territory, the rescue mission turns into a race to find the Holy Grail before the Nazis do, who plan to use it for complete world domination for their super-race. With the diary as a vital key and the map with no names as a guide, Indiana Jones once again finds himself in another death-defying adventure of pure excitement."
122,Heat,"A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,Hunters and their prey--Neil and his professional criminal crew hunt to score big money targets (banks, vaults, armored cars) and are, in turn, hunted by Lt. Vincent Hanna and his team of cops in the Robbery/Homicide police division. A botched job puts Hanna onto their trail while they regroup and try to put together one last big 'retirement' score. Neil and Vincent are similar in many ways, including their troubled personal lives. At a crucial moment in his life, Neil disobeys the dictum taught to him long ago by his criminal mentor--'Never have anything in your life that you can't walk out on in thirty seconds flat, if you spot the heat coming around the corner'--as he falls in love. Thus the stage is set for the suspenseful ending....,Neil McCauley leads a group of professional bank robbers, taking down major scores around LA. However after their latest heist goes terribly wrong and ends up in homicide, Det. Vincent Hannah finds a clue and becomes obsessed with the case determined to stop McCauley's crew. Hannah and McCauley are competing against each other in a deadly cat-and-mouse game. Although they are on different sides of the law, they still find huge respect, recognition in each others troubled personal lives and they understand each others motivations - however this won't make them hesitate to do whatever they can to win the battle between them two in this crime saga.,In Los Angeles, a gang of armed thieves is hitting serious targets - major banks, vaults, and armored cars. These thieves are led by arch-criminal Neal MacAuley. One of their operations, an armored-car robbery, goes bad and the armored-car guards are murdered by the gunmen - putting LAPD homicide detective Vince Hanna on the trail of the thieves. Hanna knows it will take a lot to bring these dangerous, armed thieves down, and it will end in a horrifying gun battle when the thieves try to rob a major federal bank..."
123,L.A. Confidential,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.,1950's Los Angeles is the seedy backdrop for this intricate noir-ish tale of police corruption and Hollywood sleaze. Three very different cops are all after the truth, each in their own style: Ed Exley, the golden boy of the police force, willing to do almost anything to get ahead, except sell out; Bud White, ready to break the rules to seek justice, but barely able to keep his raging violence under control; and Jack Vincennes, always looking for celebrity and a quick buck until his conscience drives him to join Exley and White down the one-way path to find the truth behind the dark world of L.A. crime.,Three policemen, each with his own motives and obsessions, tackle the corruption surrounding an unsolved murder at a downtown Los Angeles coffee shop in the early 1950s. Detective Lieutenant Exley (Guy Pearce), the son of a murdered detective, is out to avenge his father's killing. The ex-partner of Officer White (Russell Crowe), implicated in a scandal rooted out by Exley, was one of the victims. Sergeant Vincennes (Kevin Spacey) feeds classified information to a tabloid magnate (Danny DeVito).,LA in the 50's: someone's killing imprisoned mob boss Mickey Cohen's gang. The police, led by Captain Dudley, convince wiseguys from Jersey, Cleveland, and elsewhere to go home. Rich developer, Pierce Patchett, runs a stable of high-class hookers who are ringers for movie stars. The plot to replace Cohen blindsides three plainclothes cops: White watched his father beat his mother to death then vanish, he punishes abusers with quick violence; Exley's father was a hero cop killed mysteriously, he seeks justice by the book; Vicennes, a clothes horse, consults for a Dragnet-like TV show. Will they escape corruption and murder, will they find their own morality?,Three detectives in the corrupt and brutal L.A. police force of the 1950s use differing methods to uncover a conspiracy behind the shotgun slayings of the patrons at an all-night diner in this lush tribute to tough film noir crime films. Based on the multi-layered James Ellroy novel."
124,Die Hard,"An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,NYPD cop John McClane goes on a Christmas vacation to visit his wife Holly in Los Angeles where she works for the Nakatomi Corporation. While they are at the Nakatomi headquarters for a Christmas party, a group of robbers led by Hans Gruber take control of the building and hold everyone hostage, with the exception of John, while they plan to perform a lucrative heist. Unable to escape and with no immediate police response, John is forced to take matters into his own hands.,New York City policeman John McClane (Bruce Willis) is visiting his estranged wife (Bonnie Bedelia) and his daughter and son Christmas Eve. He joins her at a holiday party in the headquarters of the Japanese-owned business she works for. But the festivities are interrupted by a group of terrorists who take over the exclusive high-rise, and everyone in it. Very soon McClane realizes that there's no one to save the hostages -- but him.,John McClain, a new York City cop flys to LA to visit his wife at a Christmas party. But when twelve terrorist attack the building at the same night, McCain is the only hope of saving everybody. With nothing but a handgun and his wits he is forced to take on Hans Gruber and his fellow terrorists.,Tough New York cop John McClane finds himself in a tight situation when an office building in Los Angeles is taken over by terrorists. Apart from himself, everyone else in the building - including his wife - is held at gunpoint while their captors spell out their demands. The F.B.I. are called in to survey the situation, but John McClane has other plans for the terrorists...,New York cop John McClane flies to Los Angeles on Christmas eve to spend the holidays with his family. He arrives at the Nakatomi corp. building for his wife's office party. International terrorists take over the building and hold every one as hostage to steal $600 million of bonds from the vaults of the building. Now its up to McCLane to face the terrorists and save his wife and the other hostages.,In the city of Los Angeles, a Christmas party is held on the 30th floor of the Nakatomi Plaza Hotel. While the party is going on, downstairs, a band of German terrorists arrive and take the entire building hostage including its employees and attempt a huge robbery. But the only one who eludes capture is New York City Cop John McClane who launches a one man war in an attempt to stop the terrorists and save all hostages including his wife Holly.,John McClane is a cop from New York City who is on his way to Los Angeles to see his kids and his wife Holly, who moved to LA because of a job at the Nakatomi Corporation. When he arrives at Nakatomi Plaza, he meets Holly's boss Joe Takagi and her co-worker Harry Ellis. He and Holly go into a private bathroom and get into an argument. When Holly leaves to give a speech, thirteen armed terrorists lead by Hans Gruber seize control of the building and take the occupants of the 30th floor, who are the only ones left in the building, hostage. Luckily, they missed John and he has to figure out how to save the hostages before the terrorists get their way."
125,Green Book,"A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,In 1962, Tony ""Tony Lip"" Vallelonga, a tough bouncer, is looking for work when his nightclub is closed for renovations. The most promising offer turns out to be the driver for the African-American classical pianist Don Shirley for a concert tour into the Deep South states. Although hardly enthused at working for a black man, Tony accepts the job and they begin their trek armed with The Negro Motorist Green Book, a travel guide for safe travel through America's racial segregation. Together, the snobbishly erudite pianist and the crudely practical bouncer can barely get along with their clashing attitudes to life and ideals. However, as the disparate pair witness and endure America's appalling injustices on the road, they find a newfound respect for each other's talents and start to face them together. In doing so, they would nurture a friendship and understanding that would change both their lives.,New York City bouncer Frank ""Tony Lip"" Vallelonga is searching for new employment after his nightclub is closed for renovations, eventually landing an interview as a driver for ""Doc"" Don Shirley, a famed pianist. Their first encounter does not go well, as Tony's flippant, uncultured behavior clashes with Don's sophisticated, reserved demeanor. However, Don eventually hires Tony on the strength of others' word, as he needs someone who can help him stay out of trouble during an eight-week concert tour through the Deep South. They embark with plans to return home on Christmas Eve. Tony is given a copy of the Green Book by Don's record studio: a guide for black travelers to find safe havens throughout the segregated South. They begin the tour in the Midwest before eventually heading further south. Tony and Don clash over their differences, as Tony feels uncomfortable being asked to act properly, while Don is disgusted by Tony's habits. Regardless, Tony finds himself impressed with Don's talent on the piano, and increasingly disgusted by the discriminatory treatment the latter receives by the hosts when he is not on stage. After a bar incident leads to a group of white men threatening Don's life, Tony rescues him by threatening to pull a gun on them. He instructs Don not to go out without him for the rest of the tour.,Dr Don Shirley is a world-class African-American pianist, who is about to embark on a concert tour in the Deep South in 1962. In need of a driver and protection, Shirley recruits Tony Lip, a tough-talking bouncer from an Italian-American neighbourhood in the Bronx. Despite their differences, the two men soon develop an unexpected bond while confronting racism and danger in an era of segregation.,In early-1960s openly and legally segregated America, two polar opposites--the distinguished and refined African-American classical pianist, Don Shirley, and the uncultivated Italian-American nightclub bouncer, Tony Vallelonga--are about to form an unlikely friendship. With New York's Copacabana Club being renovated, Don and his new problem-solver chauffeur embark on a lengthy two-month concert tour through the hostile Deep South, equipped only with a subtly tremendous talent, a serenely resilient dignity, and a little vert guide book for visitors--The Negro Motorist Green-Book. Before endless kilometres of unfriendly territory, a single man chooses the hard way for the sake of progress; however, can one person make a difference?,October, 1962. Italian-American Bronx native Tony Vallelonga - long called Tony Lip by those that know him for being able to BS his way out of anything - largely uses that ability to BS, his street smarts and his fists to do his job in ""customer relations"" (i.e. a glorified bouncer) at the Copa, where he has to deal with well dressed toughs and thugs, albeit with a smile and often without they knowing that he is screwing them. Like most of his Italian-American friends and family, he is a working class bigot, as demonstrated by his actions concerning some black laborers who did work in his and his wife Dolores' apartment. With the Copa closed for renovations until the new year, Tony has to find another job in the interim, he, without telling Dolores, pawning some of his valuables in the meantime to put food on their and their two adolescent sons' table. When he is given the inside scoop on a job working for Dr. Don Shirley, he only did not know before meeting Dr. Shirley that the Dr. refers to his multiple Ph.D.s, and that he is a classically trained pianist (the head of the popular music playing Don Shirley Trio) instead of a physician, but arguably most importantly that he is a well educated, wealthy and refined black man. The job is not only as chauffeur as Tony initially thought, but to be his all-expenses and well paid general foot soldier, especially in the area of security, for the eight week tour he has arranged for the trio with his record label, much of that tour in the Deep South (the last scheduled date being December 23rd in Birmingham, Alabama) hence the need for especially that security in he being black. Renegotiating the terms, learning that Dr. Shirley actually recruited him based on his reputation for being able to get the job done, and getting the okay from Dolores in the stipulation that he make it home for Christmas or else, Tony accepts the job. Beyond the obvious hazards of the race relations aspect of the job once they get to the Deep South, they will not only have to get over their own differences as humans in their moral and ethical values to survive with each other for eight weeks, but deal with the general role reversal of the uneducated white man being subservient to the well-educated black man. In that aspect, Dr. Shirley may have other issues in the Deep South as not fitting into either the white or black populations in general."
126,Monty Python and the Holy Grail,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.,History is turned on its comic head when, in tenth-century England, King Arthur travels the countryside to find knights who will join him at the Round Table in Camelot. Gathering up the men is a tale in itself but after a bit of a party at Camelot, many decide to leave only to be stopped by God, who sends them on a quest: to find the Holy Grail. After a series of individual adventures, the knights are reunited but must face a wizard named Tim the Enchanter, killer rabbits and lessons in the use of holy hand grenades. Their quest comes to an end however when the Police intervene - just what you would expect in a Monty Python movie.,In search of brave and faithful supporters to join the Knights of the Round Table, the legendary British leader, King Arthur of Camelot, rides around Britain's countryside atop his noble steed. Before long, a handful of good men answer his call; however, after careful consideration, they decide to go their separate ways, only to provoke the wrath of the omnipotent being in the clouds, who commands Arthur and his followers to find the fabled Holy Grail. Now, on a mission from God himself, five men must brave taunting French soldiers; confront sexually obsessed virgins; do battle with the notorious Black Knight; face a mysterious enchanter named ""Tim"", and slay a vicious furry protector. But, are King Arthur's knights up to the task?,Arthur, King of the Britons, is looking for knights to sit with him at Camelot. He finds many knights including Sir Galahad the Pure, Sir Launcelot the Brave, the quiet Sir Bedevere, and Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot. Through satire of certain events in history, they find Camelot, but after literally a quick song and dance they decide that they do not want to go there. While walking away, God comes to them from a cloud and tells them to find the Holy Grail. They agree and begin their search. Throughout their search, they meet interesting people and knights along the way."
